CC,Player name,Team name,eDPI,DPI,Hz,Windows sensitivity,sensitivity,zoom_sensitivity_ratio,m_pitch,m_yaw,Mouse acceleration,Mouse,Mousepad
US,FugLy,NRG eSports,990,450,500,6,2.2,1,0.022,0.022,0,Razer DeathAdder,SteelSeries QcK Heavy
PL,Neo,Virtus.pro,980,400,1000,6,2.45,0.9,0.022,0.022,0,SteelSeries Rival 100,SteelSeries QcK+
DK,SandeN,Wizards,976,800,1000,6,1.22,1,0.022,0.022,0,Razer DeathAdder 2013,Mionix Sargas 450 SK
AU,AZR,Renegades,967.5,450,1000,5,2.15,1,0.022,0.022,0,SteelSeries Sensei,SteelSeries QcK+ [Na'Vi]
DK,Pimp,Team Liquid,960,800,1000,6,1.2,0.8,0.022,0.022,0,Razer DeathAdder,Zowie G-SR [Pimp]
BR,HEN1,Immortals,960,400,1000,4,2.4,1.2,0.022,0.022,1.05,SteelSeries Rival,SteelSeries QcK Heavy
SE,JW,GODSENT,960,400,500,6,2.4,0.9,0.022,0.022,0,Zowie EC2-A,Fnatic Focus
US,nitr0,Team Liquid,960,400,500,6,2.4,1,0.022,0.022,0,Razer DeathAdder Chroma,Razer Goliathus
US,RUSH,OpTic Gaming,960,400,,,2.4,0.8,0.022,0.022,0,Zowie FK?,SteelSeries QcK+
ES,loWel,mousesports,960,400,1000,6,2.4,1.2,0.022,0.022,0,Logitech G303,Razer Goliathus Control
NO,cENTRYZ,Norse,945,450,1000,6,2.1,1,0.022,0.022,0,Zowie EC1 eVo,SteelSeries QcK+
BG,v1c7oR,Rogue,945,450,1000,6,2.1,1,0.022,0.022,0,QPAD 5K,SteelSeries QcK Heavy
SE,berg,,920,1150,,6,0.8,1,0.022,0.022,0,Razer DeathAdder 2013,Razer Goliathus Control
DK,Magiskb0Y,North,920,800,1000,,1.15,1,0.022,0.022,0,Zowie EC?-A,
NO,rain,FaZe Clan,918,450,1000,6,2.04,1,0.022,0.022,0,QPAD 5K,Xtrfy XGP1-L4
NO,RUBINO,North,900,400,,6,2.25,1,0.022,0.022,0,Zowie EC2-A,Zowie G-SR
FR,shox,G2 Esports,900,400,1000,5,3,1,0.022,0.022,0,Zowie FK1,Razer Goliathus Speed
US,adreN,Mythic,900,400,1000,6,2.25,1,0.022,0.022,0,Zowie FK1,Razer Goliathus
SE,Devilwalk,,900,450,,6,2,1,0.022,0.022,0,Zowie EC1 eVo,SteelSeries QcK Heavy
NO,Skurk,,900,450,500,6,2,1,0.022,0.022,Win,Zowie EC1 eVo CL,Zowie G-CM [Red]
DE,stavros,Panthers Gaming,900,400,,6,2.25,1,0.022,0.022,0,Logitech G400s,QPAD UC-90
ES,Kairi,x6tence,900,500,1000,6,1.8,1,0.022,0.022,0,Logitech G303,Razer Goliathus Control
BE,Ex6TenZ,Team-LDLC,900,450,500,6,2,1,0.022,0.022,0,Zowie AM-FG,Razer Goliathus Speed
DK,k0nfig,North,880,400,,6,2.2,1,0.022,0.022,0,Zowie FK1,Corsair MM200 XL
US,LeX,Mythic,880,400,1000,6,2.2,0.9,0.022,0.022,0,SteelSeries Rival 300,SteelSeries QcK Heavy
FI,naSu,ENCE eSports,880,400,1000,6,2.2,1,0.022,0.022,0,Zowie EC2-A,Zowie G-SR
DK,gla1ve,Astralis,880,400,500,6,2.2,1,0.022,0.022,0,Cooler Master Mizar,SteelSeries QcK+ [CPH Wolves]
SE,Fifflaren,,880,400,500,6,2.2,0.65,0.022,0.022,0,Zowie ZA13,Razer Goliathus
SE,Friberg,Ninjas in Pyjamas,880,800,1000,6,1.1,1,0.022,0.022,0,Zowie EC?-A [BenQ],Xtrfy [friberg]
US,Tarik,OpTic Gaming,880,800,1000,6,1.1,1,0.022,0.022,0,Logitech G400s,SteelSeries QcK Heavy
DK,tenzki,Unity,880,400,500,6,2.2,1,0.022,0.022,0,SteelSeries Rival 300,Corsair MM200 XL
KZ,AdreN,Gambit Gaming,880,400,500,6,2.2,0.85,0.022,0.022,0,SteelSeries Kana v2 [Black],SteelSeries QcK Heavy
BR,coldzera,SK Gaming,880,800,500,6,1.1,1,0.022,0.022,0,Zowie ZA12 [Silver],Mionix Sargas 450 SK
RU,DavCost,Team Spirit,880,800,500,6,1.1,1,0.022,0.022,0,SteelSeries Rival [Fade],SteelSeries QcK Heavy
FR,kennyS,EnVyUs,880,400,500,6,2.2,1,0.022,0.022,0,Zowie EC?,Razer Goliathus Speed
DK,dev1ce,Astralis,880,400,1000,6,2.2,1,0.022,0.022,0,Zowie FK1 [BenQ],Zowie G-SR
DK,karrigan,FaZe Clan,880,800,1000,4,1.1,1,0.022,0.022,0,Razer DeathAdder [World of Tanks],Zowie G-SR [karrigan]
FI,suNny,PENTA Sports,880,500,,6,1.76,0.8,0.022,0.022,0,SteelSeries Rival 100,Xtrfy XGP1-L4
SE,Emilio,,864,360,,,2.4,0.73,0.022,0.022,0,SteelSeries Sensei RAW [Frost Blue],Mionix Sargas 450 SK
DK,coloN,MnM Gaming,855,900,,4,1.9,1,0.022,0.022,0,Razer DeathAdder 2013,Razer Goliathus
PL,Taz,Virtus.pro,850,500,500,6,1.7,1,0.022,0.022,0,SteelSeries Rival [Fade],SteelSeries QcK Heavy
CA,daps,NRG eSports,848,400,500,6,2.12,1,0.022,0.022,0,Zowie EC1-A,SteelSeries QcK Heavy
FI,diSTURBED,,840,400,,6,2.1,1,0.022,0.022,0,Razer DeathAdder,Razer Goliathus
BG,dream3r,BPro Gaming,840,400,500,6,2.1,1,0.022,0.022,0,SteelSeries Rival [White],SteelSeries QcK Heavy
SE,SKYTTEN,Denial eSports*,1120,400,500,6,2.8,0.54,0.022,0.0165,0,Mionix Naos 8200,Mionix Sargas 400
SK,Zero,HellRaisers,840,400,,6,2.1,1,0.022,0.022,0,SteelSeries Rival 300,Zowie G-SR
US,Stewie2k,Cloud9,832.5,450,1000,,1.85,1,0.022,0.022,0,Logitech G Pro,Logitech G640
BR,zqk,AlienTech.BR,830,500,1000,5,1.66,0.9,0.022,0.022,0,Zowie EC1,SteelSeries QcK+ [CS:GO]
FR,Xp3,Denial eSports,1100,500,1000,6,2.2,0.7,0.022,0.0165,0,Zowie ZA11,SteelSeries QcK Heavy
